fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, FI*83198903*2009 S2*2009-07-01*2009-12-31*2549*informacion@ingdirect.es*n.d.*MUY ALTO*0.0*0.25**13616002.18*23311*0.0*196185735*false*14.4085***0.5*0.05*2.84*25.15*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2012 S2*2012-07-01*2012-12-31*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.03*0.08**13508631.42*20563*0.0*155479893*false*11.5097*0.5*0.0*0.5*0.05*7.1*18.13*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2012 T3*2012-07-01*2012-09-30*2549*atencionalcliente@amundi.com*n.d.*7 DE UNA ESCALA DEL 1 AL 7*0.0*0.09**13950552.16*21056*0.0*149916147*false *10.7463*0.25*0.0*0.25*0.03*9.94*36.74*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2012 S1*2012-01-01*2012-06-30*2549*atencionalcliente@amundi.com*n.d.*7 DE UNA ESCALA DEL 1 AL 7*0.07*0.16**14617978.92*21819*0.0*142886820*false *9.7747*0.49*0.0*0.49*0.05*-8.69*32.73*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2012 T1*2012-01-01*2012-03-31*2549*atencionalcliente@amundi.com*n.d.*7 DE UNA ESCALA DEL 1 AL 7*0.05*0.12**14342352.84*21792*0.0*153540909*false *10.7054*0.25*0.0*0.25*0.02*-5.61*20.1*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2013 T3*2013-07-01*2013-09-30*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.04**13923693.94*21145*0.0*185712703*false*13.3379*0.25*0.0*0.25*0.03*19.79*17.65*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2013 S1*2013-01-01*2013-06-30*2549*informacioncomercial@amundi.com.*ND*7 en una escala de 1 a 7.*0.0*0.04**14680826.51*21397*0.0*163460248*false*11.1343*0.49*0.0*0.49*0.05*-0.98*19.77*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2013 T1*2013-01-01*2013-03-31*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.04**13983184.49*20952*0.0*157230947*false*11.2443*0.24*0.0*0.24*0.02*-2.31*22.44*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2012 S2*2012-07-01*2012-12-31*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.03*0.08**13508631.42*20563*0.0*155479893*false*11.5097*0.5*0.0*0.5*0.05*7.1*18.13*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2014 S2*2014-07-01*2014-12-31*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.01**21467981.99*28977*0.0*335061762*false*15.6075*0.5*0.0*0.5*0.05*-3.98*24.75*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2014 T3*2014-07-01*2014-09-30*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.02**20037579.04*28055*0.0*325708839*false*16.2549*0.25*0.0*0.25*0.03*-0.11*16.01*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2014 S1*2014-01-01*2014-06-30*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.16**18483410.17*26548*0.0*300786301*false*16.2733*0.49*0.0*0.49*0.05*6.62*14.28*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2014 T1*2014-01-01*2014-03-31*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.14**17710371.79*25393*0.0*270313617*false*15.263*0.24*0.0*0.24*0.02*4.99*17.91*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2015 T3*2015-07-01*2015-09-30*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.0**21813127.1*29936*0.0*322831584*false*14.7999*0.25*0.0*0.25*0.03*-10.75*26.59*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2015 S1*2015-01-01*2015-06-30*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.0**19890314.69*28197*0.0*329842177*false*16.5831*0.49*0.0*0.49*0.05*-5.58*19.29*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2015 T1*2015-01-01*2015-03-31*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.0**19465688.86*27713*0.0*341872993*false*17.5629*0.24*0.0*0.24*0.02*12.53*19.88*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2014 S2*2014-07-01*2014-12-31*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.01**21467981.99*28977*0.0*335061762*false*15.6075*0.5*0.0*0.5*0.05*-3.98*24.75*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2016 S2*2016-07-01*2016-12-31*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.0**21298332.45*28724*0.0*321645255*false*15.1019*0.5*0.0*0.5*0.05*7.52*14.44*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2016 T3*2016-07-01*2016-09-30*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.0**22291381.75*29667*0.0*313087055*false*14.0452*0.25*0.0*0.25*0.03*8.02*18.11*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2016 S1*2016-01-01*2016-06-30*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.0**22616146.64*30165*0.0*294077803*false*13.003*0.49*0.0*0.49*0.05*-4.95*35.59*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2016 T1*2016-01-01*2016-03-31*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.0**22474612.77*30424*0.0*307447127*false*13.6798*0.25*0.0*0.25*0.02*-8.17*30.29*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2017 S2*2017-07-01*2017-12-31*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**20265476.4*28601*0.0*336317930*false*16.5956*0.5**0.5*0.05*-2.53*14.24*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2017 T3*2017-07-01*2017-09-30*2549*informacioncomercial@amundi.com.* Baa1*7 en una escala de 1 a 7.*0.0*0.0**20189349.87*28677*0.0*343756002*false*17.0266*0.25*0.0*0.25*0.03*-0.37*12.05*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2017 S1*2017-01-01*2017-06-30*2549*informacioncomercial@amundi.com.*n.d.*6 en una escala de 1 a 7.*0.0*0.0**19716820.44*28129*0.0*336954093*false*17.0897*0.49*0.0*0.49*0.05*0.92*13.51*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT FONDO NARANJA IBEX 35, F.I.*83198903*2017 T1*2017-01-01*2017-03-31*2549*informacioncomercial@amundi.com.*n.d.*7 en una escala de 1 a 7.*0.0*0.0**20314170.66*28081*0.0*343995292*false*16.9338*0.24*0.0*0.24*0.02*12.13*11.57*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2018 T3*2018-07-01*2018-09-30*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**21532486.62*29471*0.0*340529252*false*15.8147*0.25**0.25*0.03*-2.13*10.73*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2018 S1*2018-01-01*2018-06-30*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**21482618.51*29783*0.0*347119200*false*16.1581*0.49**0.49*0.05*1.56*13.36*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2018 T1*2018-01-01*2018-03-31*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**22118071.64*30364*0.0*351913809*false*15.9107*0.24**0.24*0.02*-4.13*14.57*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2017 S2*2017-07-01*2017-12-31*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**20265476.4*28601*0.0*336317930*false*16.5956*0.5**0.5*0.05*-2.53*14.24*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2019 S2*2019-07-01*2019-12-31*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**15719151.06*23326*0.0*263066356*false*16.7354*0.5**0.5*0.05*4.33*12.97*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2019 T3*2019-07-01*2019-09-30*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**18374384.36*25789*0.0*294734582*false*16.0405*0.25**0.25*0.03*0.73*13.52*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2019 S1*2019-01-01*2019-06-30*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**19314096.68*26914*0.0*307574137*false*15.9249*0.49**0.49*0.05*1.05*11.26*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2019 T1*2019-01-01*2019-03-31*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**20598379.47*28267*0.0*324621515*false*15.7596*0.24**0.24*0.03*8.61*12.42*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2020 S2*2020-07-01*2020-12-31*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**16609856.63*22980*0.0*239690309*false*14.4306*0.5**0.5*0.05*20.95*25.82*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2020 T3*2020-07-01*2020-09-30*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**17599127.01*23955*0.0*209984445*false*11.9315*0.25**0.25*0.03*-6.9*21.68*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2020 S1*2020-01-01*2020-06-30*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**17574017.3*24320*0.0*225228147*false*12.816*0.49**0.49*0.05*7.77*32.56*0.28*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
ING DIRECT FONDO NARANJA IBEX 35, FI*ING DIRECT NARANJA IBEX 35 FI*83198903*2020 T1*2020-01-01*2020-03-31*2549*atencionalcliente@amundi.com*Baa1*6 en una escala del 1 al 7*0.0*0.0**16545900.45*23629*0.0*196766680*false*11.8922*0.25**0.25*0.02*-28.94*50.16*0.27*AMUNDI IBERIA, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0152741031
