fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME FI*2009 T3*2009-07-01*2009-09-30*MEDIO/ALTO*1.79*0.21**392898.41*204*0.0*4762741*false*12.1221***0.22*0.03***
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME FI*2009 S1*2009-01-01*2009-06-30*MEDIO/ALTO*2.13*0.88**375118.89*205*0.0*4420779*false*11.785***0.49*0.07*0.19*5.48*0.34
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2012 T1*2012-01-01*2012-03-31*MUY ALTO*0.81*0.22**757109.54*214*0.0*9011208*false*11.9021*0.25**0.25*0.02*0.26*2.36*0.33
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2013 S2*2013-07-01*2013-12-31*MUY ALTO*0.91*0.05**856224.74*192*0.0*10537602*false*12.3071*0.5**0.5*0.05*1.47*1.81*0.35
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2013 T3*2013-07-01*2013-09-30*MUY ALTO*0.63*0.03**726221.34*194*0.0*8808542*false*12.1293*0.25**0.25*0.03*0.27*2.26*0.33
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2013 S1*2013-01-01*2013-06-30*MUY ALTO*2.52*0.04**717050.92*201*0.0*8674072*false*12.0969*0.49**0.49*0.05*-2.53*5.77*0.39
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2013 T1*2013-01-01*2013-03-31*MUY ALTO*1.26*0.03**698303.68*203*0.0*8666291*false*12.4105*0.25**0.25*0.02*2.48*2.56*0.37
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2014 S2*2014-07-01*2014-12-31*4 en una escala del 1 al 7.*1.82*0.0**865033.71*198*0.0*10982860*false*12.6965*0.5*0.17*0.67*0.05***0.39
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2014 T3*2014-07-01*2014-09-30*3 en una escala del 1 al 7.*1.27*0.01**931128.82*199*0.0*11457642*false*12.3051*0.25**0.19*0.03*-0.77*2.93*0.37
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2014 S1*2014-01-01*2014-06-30*3 en una escala del 1 al 7.*0.68*0.14**912852.25*201*0.0*11320494*false*12.4012*0.49*0.07*0.56*0.05*-0.05*2.8*0.37
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2014 T1*2014-01-01*2014-03-31*3 en una escala del 1 al 7.*0.51*0.14**897950.64*201*0.0*11141729*false*12.408*0.25*0.07*0.32*0.02*0.82*3.82*0.37
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2015 S2*2015-07-01*2015-12-31*4 en una escala del 1 al 7.*1.81*0.0**1434010.4*257*0.0*18304871*false*12.7648*0.49*-0.21*0.28*0.05*-1.39*3.55*0.34
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2015 T3*2015-07-01*2015-09-30*4 en una escala del 1 al 7.*1.03*0.0**1403406.2*251*0.0*18167225*false*12.9451*0.25**0.04*0.03*-2.57*6.25*0.35
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2015 S1*2015-01-01*2015-06-30*4 en una escala del 1 al 7.*0.84*0.0**1371727.72*250*0.0*18226295*false*13.2871*0.48*0.27*0.75*0.05*-1.09*6.91*0.4
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2015 T1*2015-01-01*2015-03-31*4 en una escala del 1 al 7.*0.4*0.0**1071687.56*215*0.0*14396768*false*13.4337*0.24*0.46*0.7*0.02*5.81*4.33*0.38
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2016 S2*2016-07-01*2016-12-31*4 en una escala del 1 al 7.*2.75*0.0**1392291.55*233*0.0*18082434*false*12.9875*0.49*0.15*0.64*0.05*1.53*4.88*0.39
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2016 T3*2016-07-01*2016-09-30*4 en una escala del 1 al 7.*1.03*0.0**1235001.2*245*0.0*15798161*false*12.792*0.25*0.0*0.25*0.03*1.13*3.05*0.37
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2016 S1*2016-01-01*2016-06-30*4 en una escala del 1 al 7.*1.82*0.0**1257774.85*245*0.0*15909108*false*12.6486*0.49**0.49*0.05*-0.5*1.62*0.34
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2016 T1*2016-01-01*2016-03-31*4 en una escala del 1 al 7.*0.83*0.0**1284273.17*254*0.0*16326103*false*12.7123*0.24**0.24*0.02*-0.41*0.88*0.32
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2017 T3*2017-07-01*2017-09-30*4 en una escala del 1 al 7.*1.92*0.0**1388002.85*231*0.0*18161693*false*13.0848*0.24*0.07*0.31*0.03*1.24*4.18*0.38
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2017 S1*2017-01-01*2017-06-30*4 en una escala del 1 al 7.*3.6*0.0**1372844.02*233*0.0*17743391*false*12.9245*0.48**0.48*0.05*-0.26*4.22*0.43
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2017 T1*2017-01-01*2017-03-31*4 en una escala del 1 al 7.*1.47*0.0**1388680.95*233*0.0*17994480*false*12.958*0.24**0.24*0.02*-0.23*5.01*0.39
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2018 S2*2018-07-01*2018-12-31*4 en una escala del 1 al 7.*1.65*-0.28**1323151.78*220*0.0*16726054*false*12.6411*0.45**0.45*0.05*-2.43*2.48*0.33
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2018 T3*2018-07-01*2018-09-30*4 en una escala del 1 al 7.*0.88*-0.1**1422801.14*222*0.0*18432798*false*12.9553*0.22**0.22*0.03***0.34
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2018 S1*2018-01-01*2018-06-30*4 en una escala del 1 al 7.*2.5*-0.06**1429289.22*223*0.0*18410744*false*12.881*0.45**0.45*0.05*-1.59*2.81*0.34
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2018 T1*2018-01-01*2018-03-31*4 en una escala del 1 al 7.*1.35*0.0**1424557.9*230*0.0*18646242*false*13.0891*0.23**0.23*0.02*-2.47*6.03*0.4
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2019 T3*2019-07-01*2019-09-30*4 en una escala del 1 al 7.*1.52*0.0**1139017.46*208*0.0*14717457*false*12.9212*0.25**0.25*0.03*1.38*3.84*0.4
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2019 S1*2019-01-01*2019-06-30*4 en una escala del 1 al 7.*1.65*-0.13**1162888.38*209*0.0*14821749*false*12.7456*0.5**0.5*0.05*-0.27*1.83*0.38
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2019 T1*2019-01-01*2019-03-31*4 en una escala del 1 al 7.*0.69*-0.26**1224921.87*210*0.0*15654929*false*12.7803*0.25**0.25*0.02*1.1*1.46*0.34
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2020 S2*2020-07-01*2020-12-31*4 en una escala del 1 al 7.*1.61*-0.59**998399.83*187*0.0*11960716*false*11.9799*0.5**0.5*0.05*1.62*3.63*0.37
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2020 T3*2020-07-01*2020-09-30*4 en una escala del 1 al 7.*0.9*-0.47**1008064.73*191*0.0*11884518*false*11.7894*0.25**0.25*0.03*-0.43*4.43*0.37
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2020 S1*2020-01-01*2020-06-30*4 en una escala del 1 al 7.*2.29*-0.4**1035350.33*187*0.0*12258476*false*11.8399*0.5**0.5*0.05*-0.19*2.96*0.34
CS DIRECTOR INCOME, FI*CS DIRECTOR INCOME, FI*2020 T1*2020-01-01*2020-03-31*4 en una escala del 1 al 7.*1.21*-0.07**1073086.87*195*0.0*12729973*false*11.8629*0.25**0.25*0.02*-7.13*8.07*0.39
