fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2011*2011-01-01*2011-12-31*Muy alto*0.5249999999999999*0.42500000000000004**103225.875*31.0*0.0*1091964.0*False*10.0686***1.0*0.1****False*Y*2011
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2011 T2*2011-01-01*2011-06-30*Muy alto*0.9099999999999999*0.8**104372.73999999999*31.0*0.0*1019795.0*False*10.4062***0.25*0.030000000000000002****False*T*2011
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2011 T4*2011-07-01*2011-12-31*Muy alto*1.01*0.27**114966.25*40.0*0.0*1091964.0*False*10.0686***0.25*0.020000000000000004****False*T*2011
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2012 T2*2012-01-01*2012-06-30*Muy alto*1.95*0.009999999999999981**165566.76*45.0*0.0*1623009.0*False*9.6158*0.25*0.0*0.25*0.030000000000000002****False*T*2012
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2016 T2*2016-01-01*2016-06-30*5 en una escala del 1al 7,*0.29000000000000004*-0.30000000000000004**504369.85*143.0*0.0*6183643.0*False*12.4848*0.25*0.0*0.25*0.030000000000000002****False*T*2016
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2016 T4*2016-07-01*2016-12-31*5 en una escala del 1al 7,*0.0*-0.2700000000000001**597939.4500000001*175.0*0.0*7966037.0*False*14.0119*0.25*0.0*0.25*0.020000000000000004****False*T*2016
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2017*2017-01-01*2017-12-31*5 en una escala del 1 al 7,*0.0*-0.145**737082.64*218.5*0.0*11788364.0*False*14.752*1.0*0.0*1.0*0.08****False*Y*2017
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2017 T2*2017-01-01*2017-06-30*5 en una escala del 1al 7,*0.0*0.39**757618.77*231.0*0.0*10038166.0*False*14.87*0.25*0.0*0.25*0.02****False*T*2017
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2017 T4*2017-07-01*2017-12-31*5 en una escala del 1 al 7,*-0.02*-0.22999999999999998**870029.42*244.0*0.0*11788364.0*False*14.752*0.25*0.0*0.25*0.02****False*T*2017
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2018*2018-01-01*2018-12-31*5 en una escala del 1 al 7,*0.015*-0.245**819968.9*243.5*0.0*10466961.0*False*13.4113*1.0*0.0*1.0*0.08****False*Y*2018
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2018 T2*2018-01-01*2018-06-30*5 en una escala del 1 al 7,*0.02*-0.04000000000000001**891509.8800000001*246.0*0.0*12743576.0*False*14.8271*0.25*0.0*0.25*0.02****False*T*2018
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2018 T4*2018-07-01*2018-12-31*5 en una escala del 1 al 7,*0.04*-0.45999999999999996**727990.04*244.0*0.0*10466961.0*False*13.4113*0.25*0.0*0.25*0.02****False*T*2018
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2019*2019-01-01*2019-12-31*5 en una escala del 1 al 7*0.10500000000000001*-0.37**686017.54*222.0*0.0*10115661.0*False*15.3932*1.0*0.0*1.0*0.08****False*Y*2019
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2019 T2*2019-01-01*2019-06-30*5 en una escala del 1 al 7,*0.1*-0.38**695408.07*207.0*0.0*10402192.0*False*14.5509*0.25*0.0*0.25*0.02****False*T*2019
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2019 T4*2019-07-01*2019-12-31*5 en una escala del 1 al 7*0.17*-0.38999999999999996**647280.5399999999*234.0*0.0*10115661.0*False*15.3932*0.25*0.0*0.25*0.02****False*T*2019
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2020*2020-01-01*2020-12-31*5 en una escala del 1al 7,*0.35*-0.22**553079.38*217.0*0.0*8332959.0*False*15.554*1.0*0.0*1.0*0.08****False*Y*2020
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2020 T2*2020-01-01*2020-06-30*5 en una escala del 1 al 7,*0.9999999999999999*-0.19**537470.21*214.0*0.0*7860645.0*False*13.7806*0.25*0.0*0.25*0.02****False*T*2020
ANNUALCYCLES STRATEGIES, FI*ANNUALCYCLES STRATEGIES FI*2020 T4*2020-07-01*2020-12-31*5 en una escala del 1al 7,*0.1*-0.13**517344.55000000005*197.0*0.0*8332959.0*False*15.554*0.25*0.0*0.25*0.02****False*T*2020
