fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2009*2009-01-01*2009-12-31*Medio alto*2.765*0.585**2782820.175*8348.5*0.0*133904789.0*False*49.4279***2.0*0.06****False*Y*2009
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2009 T4*2009-07-01*2009-12-31*Medio alto*2.9699999999999998*0.04**2626610.17*8030.0*0.0*133904789.0*False*49.4279***0.51*0.019999999999999997****False*T*2009
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2010*2010-01-01*2010-12-31*Medio alto*1.01*0.085**2465530.32*7540.0*0.0*105786990.0*False*45.0125***2.0*0.06****False*Y*2010
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2010 T2*2010-01-01*2010-06-30*Medio alto*1.85*0.039999999999999994**2496887.1999999997*7590.0*0.0*112490719.0*False*43.586000000000006***0.5*0.019999999999999997****False*T*2010
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2010 T4*2010-07-01*2010-12-31*Medio alto*1.2000000000000002*0.21000000000000002**2226772.6199999996*6889.0*0.0*105786990.0*False*45.0125***0.51*0.019999999999999997****False*T*2010
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2011 T2*2011-01-01*2011-06-30*Medio alto*1.3199999999999998*0.61**1990043.19*6305.0*0.0*97472160.0*False*46.4712***0.5*0.019999999999999997****False*T*2011
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2015 T2*2015-01-01*2015-06-30*5, de una escala del 1 al 7*1.8399999999999999*0.03**581655.6699999999*3747.0*0.0*41481811.0*False*55.2685*0.5*0.0*0.5*0.019999999999999997****False*T*2015
IMANTIA FUTURO HEALTHY, FI*Ahorrofondo, F.I.*2015 T4*2015-07-01*2015-12-31*5, de una escala del 1 al 7*3.03*0.67**686975.0399999999*4395.0*0.0*38072877.0*False*52.9983*0.51*0.0*0.51*0.030000000000000002****False*T*2015
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2016*2016-01-01*2016-12-31*5, de una escala del 1 al 7*1.5999999999999999*0.385**592704.1*3916.0*0.0*29381369.0*False*52.4474*1.72*0.0*1.72*0.09****False*Y*2016
IMANTIA FUTURO HEALTHY, FI*Imantia Decidido, F.I*2016 T2*2016-01-01*2016-06-30*5, de una escala del 1 al 7*4.18*0.36**573592.3*3764.0*0.0*31641904.0*False*50.6107*0.45999999999999996*0.0*0.45999999999999996*0.02****False*T*2016
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2016 T4*2016-07-01*2016-12-31*5, de una escala del 1 al 7*0.98*-0.06**523042.2699999999*3664.0*0.0*29381369.0*False*52.4474*0.38*0.0*0.38*0.030000000000000002****False*T*2016
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2016*2016-01-01*2016-12-31*5, de una escala del 1 al 7*1.5999999999999999*0.385**592704.1*3916.0*0.0*29381369.0*False*52.4474*1.72*0.0*1.72*0.09****False*Y*2016
IMANTIA FUTURO HEALTHY, FI*Imantia Decidido, F.I*2016 T2*2016-01-01*2016-06-30*5, de una escala del 1 al 7*4.18*0.36**573592.3*3764.0*0.0*31641904.0*False*50.6107*0.45999999999999996*0.0*0.45999999999999996*0.02****False*T*2016
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2016 T4*2016-07-01*2016-12-31*5, de una escala del 1 al 7*0.98*-0.06**523042.2699999999*3664.0*0.0*29381369.0*False*52.4474*0.38*0.0*0.38*0.030000000000000002****False*T*2016
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2016*2016-01-01*2016-12-31*5, de una escala del 1 al 7*1.5999999999999999*0.385**592704.1*3916.0*0.0*29381369.0*False*52.4474*1.72*0.0*1.72*0.09****False*Y*2016
IMANTIA FUTURO HEALTHY, FI*Imantia Decidido, F.I*2016 T2*2016-01-01*2016-06-30*5, de una escala del 1 al 7*4.18*0.36**573592.3*3764.0*0.0*31641904.0*False*50.6107*0.45999999999999996*0.0*0.45999999999999996*0.02****False*T*2016
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2016 T4*2016-07-01*2016-12-31*5, de una escala del 1 al 7*0.98*-0.06**523042.2699999999*3664.0*0.0*29381369.0*False*52.4474*0.38*0.0*0.38*0.030000000000000002****False*T*2016
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2017 T2*2017-01-01*2017-06-30*5, de una escala del 1 al 7*2.15*0.30000000000000004**491519.9800000001*3443.0*0.0*26889344.0*False*52.5413*0.37*0.0*0.37*0.02****False*T*2017
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2018*2018-01-01*2018-12-31*4, de una escala del 1 al 7*0.9199999999999999*0.35000000000000003**433568.925*3132.0*0.0*20280095.0*False*48.0134*1.5*0.0*1.5*0.09****False*Y*2018
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2018 T2*2018-01-01*2018-06-30*4, de una escala del 1 al 7*1.45*-0.32**430021.8*3097.0*0.0*23167075.0*False*52.0896*0.37*0.0*0.37*0.02****False*T*2018
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2018 T4*2018-07-01*2018-12-31*4, de una escala del 1 al 7*1.7*1.31**410594.31999999995*3009.0*0.0*20280095.0*False*48.0134*0.38*0.0*0.38*0.030000000000000002****False*T*2018
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2019 T2*2019-01-01*2019-06-30*4, de una escala del 1 al 7*0.79*0.91**385625.24*2907.0*0.0*20652062.0*False*52.2495*0.37*0.0*0.37*0.02****False*T*2019
IMANTIA FUTURO HEALTHY, FI*IMANTIA DECIDIDO, F.I.*2019 T2*2019-01-01*2019-06-30*4, de una escala del 1 al 7*0.79*0.91**385625.24*2907.0*0.0*20652062.0*False*52.2495*0.37*0.0*0.37*0.02****False*T*2019
IMANTIA FUTURO HEALTHY, FI*IMANTIA FUTURO HEALTHY, F.I.*2020*2020-01-01*2020-12-31*6, de una escala del 1 al 7*0.81*-0.08**363204.53*2820.0*0.0*21848384.0*False*60.1827*1.5*0.0*1.5*0.09****False*Y*2020
IMANTIA FUTURO HEALTHY, FI*IMANTIA FUTURO HEALTHY, F.I.*2020 T2*2020-01-01*2020-06-30*6, de una escala del 1 al 7*1.67*-0.07**362121.67000000004*2848.0*0.0*20521074.0*False*56.4736*0.38*0.0*0.38*0.02****False*T*2020
IMANTIA FUTURO HEALTHY, FI*IMANTIA FUTURO HEALTHY, F.I.*2020 T4*2020-07-01*2020-12-31*6, de una escala del 1 al 7*1.0*-0.15**366418.8*2795.0*0.0*21848384.0*False*60.1827*0.37*0.0*0.37*0.030000000000000002****False*T*2020
