fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase*period_type*year
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*2009*2009-01-01*2009-12-31*Alto*0.42000000000000004*0.695**934624.215*1048.5*0.0*6075171.0*False*6.1653***1.35*0.2****False*Y*2009
CAIXABANK MULTISALUD, FI*Bankpyme Multisalud FI*2009 T4*2009-07-01*2009-12-31*Alto*0.52*0.050000000000000044**1061330.38*989.0*0.0*6075171.0*False*6.1653***0.34*0.05****False*T*2009
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010*2010-01-01*2010-12-31*Alto*0.34*0.14**1513431.325*1078.0*0.0*10979842.0*False*6.9153***1.5499999999999998*0.2****False*Y*2010
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 T2*2010-01-01*2010-06-30*Alto*0.39000000000000007*0.09**1635488.1999999997*1137.0*0.0*9415537.0*False*6.5426***0.38999999999999996*0.05****False*T*2010
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 T4*2010-07-01*2010-12-31*Alto*0.51*0.29000000000000004**1729782.18*1043.0*0.0*10979842.0*False*6.9153***0.41*0.05****False*T*2010
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010*2010-01-01*2010-12-31*Alto*0.34*0.14**1513431.325*1078.0*0.0*10979842.0*False*6.9153***1.5499999999999998*0.2****False*Y*2010
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 T2*2010-01-01*2010-06-30*Alto*0.39000000000000007*0.09**1635488.1999999997*1137.0*0.0*9415537.0*False*6.5426***0.38999999999999996*0.05****False*T*2010
CAIXABANK MULTISALUD, FI*Bankpime Multisalud FI*2010 T4*2010-07-01*2010-12-31*Alto*0.51*0.29000000000000004**1729782.18*1043.0*0.0*10979842.0*False*6.9153***0.41*0.05****False*T*2010
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2015*2015-01-01*2015-12-31*5 - Medio-alto*3.0*0.07500000000000001**32964741.869999997*30306.5*0.0*576227642.0*False*17.1106*1.65*0.0*1.65*0.2****False*Y*2015
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2015 T2*2015-01-01*2015-06-30*5 - Medio-alto*3.8899999999999997*0.1**32339331.57*31814.0*0.0*561709488.0*False*17.4159*0.41999999999999993*0.0*0.41999999999999993*0.05****False*T*2015
CAIXABANK MULTISALUD, FI*FONCAIXA MULTISALUD, FI*2015 T4*2015-07-01*2015-12-31*5 - Medio-alto*4.960000000000001*0.1**33855718.73*31393.0*0.0*576227642.0*False*17.1106*0.41*0.0*0.41*0.05****False*T*2015
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2016*2016-01-01*2016-12-31*5 - Medio-alto*2.365*0.195**21815716.615000002*25554.5*0.0*297887991.0*False*17.1356*1.68*0.0*1.68*0.18****True*Y*2016
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2016 T4*2016-07-01*2016-12-31*5 - Medio-alto*3.88*0.26**16214401.510000002*22756.0*0.0*297887991.0*False*17.1356*0.43*0.0*0.43*0.049999999999999996****True*T*2016
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2017*2017-01-01*2017-12-31*5 - Medio-alto*3.01*0.38**13926112.125*21966.5*0.0*235945675.0*False*17.8303*1.67*0.0*1.67*0.18****True*Y*2017
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2017 T2*2017-01-01*2017-06-30*5 - Medio-alto*3.4400000000000004*0.4799999999999999**12845284.749999998*22458.0*0.0*273473763.0*False*18.7062*0.42*0.0*0.42*0.049999999999999996****True*T*2017
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2017 T4*2017-07-01*2017-12-31*5 - Medio-alto*5.91*0.26999999999999996**12002798.38*19279.0*0.0*235945675.0*False*17.8303*0.42*0.0*0.42*0.049999999999999996****True*T*2017
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2018 T2*2018-01-01*2018-06-30*5 - Medio-alto*6.3100000000000005*0.4900000000000001**9515676.339999998*16033.0*0.0*195997747.0*False*18.3504*0.42*0.0*0.42*0.049999999999999996****True*T*2018
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2019*2019-01-01*2019-12-31*6 - Alto*3.175*1.24**12003741.370000001*19567.5*0.0*237353972.0*False*20.859*1.67*0.0*1.67*0.18****True*Y*2019
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2019 T2*2019-01-01*2019-06-30*6 - Alto*3.74*1.4699999999999998**13231182.969999999*20894.0*0.0*225080934.0*False*17.8232*0.42*0.0*0.42*0.049999999999999996****True*T*2019
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2019 T4*2019-07-01*2019-12-31*6 - Alto*5.4399999999999995*0.8900000000000001**10520511.9*17644.0*0.0*237353972.0*False*20.859*0.42*0.0*0.42*0.049999999999999996****True*T*2019
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2020*2020-01-01*2020-12-31*6 - Alto*3.635*0.075**12363494.625*20910.0*0.0*236898981.0*False*20.2904*1.67*0.0*1.67*0.18****True*Y*2020
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2020 T2*2020-01-01*2020-06-30*6 - Alto*5.379999999999999*0.0**15272508.869999997*25394.0*0.0*272484656.0*False*20.8775*0.41*0.0*0.41*0.049999999999999996****True*T*2020
CAIXABANK MULTISALUD, FI*CAIXABANK MULTISALUD, FI*2020 T4*2020-07-01*2020-12-31*6 - Alto*4.88*-0.39**10596672.940000001*18368.0*0.0*236898981.0*False*20.2904*0.42*0.0*0.42*0.049999999999999996****True*T*2020
